date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2018-04-25	347.19	349.39	341.19	343.19	348236	13504685056.0	353.07000000000005	356.87	363.64	358.2560680725686	369.5928437488594	34.34177529069785	-11.336775676290811	-10.316818030403365	-2.0399152917749	363.64	385.8943668098024	341.3856331901976	11.18846327824944
2018-04-26	344.39	346.99	333.59	338.59	349612	13375030272.0	348.3500000000001	353.77	361.42	355.2305191383273	367.29633680449945	32.58942548277406	-12.065817666172164	-10.666617957557124	-2.7983994172300832	361.42	384.3935866640474	338.4464133359526	11.346430186945913
2018-04-27	346.39	347.19	339.39	344.79	264467	10250314752.0	345.99	351.80999999999995	359.23	353.62428542473845	365.6292007449069	37.23793603836115	-12.004915320168491	-10.9342774300794	-2.141275780178187	359.23	379.4883731876598	338.9716268123402	11.15025660216406
2018-04-30	348.79	349.99	345.59	347.39	128812	5047874560.0	345.39000000000004	350.61	358.1700000000001	352.6651645901633	364.2781488378768	39.13346622523807	-11.61298424771354	-11.070018793606229	-1.085930908214625	358.1700000000001	378.5841952675344	337.7558047324658	10.725238273438055
2018-05-02	347.39	353.19	347.39	349.79	192039	7563807232.0	344.75000000000006	350.23	357.36000000000007	352.222831576292	363.2049526276637	40.90760527565541	-10.982121051371736	-11.05243924515933	0.1406363875751921	357.36000000000007	377.75330127375344	336.9666987262467	10.373435539621052
2018-05-03	345.79	346.99	340.79	341.39	239051	9233995776.0	344.39000000000004	348.73	356.1400000000001	350.5562421030163	361.5890302107997	36.8581605934569	-11.032788107783404	-11.048509017684149	0.0314418198014863	356.1400000000001	377.3143141316864	334.96568586831376	10.27533300107669
2018-05-04	345.99	345.99	338.39	339.19	193260	7452372992.0	344.51000000000005	346.43000000000006	355.40000000000003	348.807589471783	359.9298427877775	35.857023107513314	-11.1222533159945	-11.063257877346215	-0.1179908772965632	355.40000000000003	377.88460525969214	332.915394740308	10.084237786714072
2018-05-07	344.39	345.19	331.79	336.39	342668	13061000192.0	342.83000000000004	344.41	354.11	346.89719109150866	358.1861507294236	34.57001961621799	-11.2889596379149	-11.108398229459954	-0.3611228169098908	354.11	377.878143208482	330.341856791518	10.321077944805925
2018-05-08	340.39	349.99	338.39	346.99	333940	12984709120.0	342.75000000000006	344.07000000000005	353.14	346.9114693851227	357.3568062309477	42.92229011307781	-10.445336845825013	-10.975785952732966	1.0608982138159109	353.14	376.37549915651897	329.904500843481	10.555286663034074
2018-05-09	351.39	353.19	346.99	350.99	209388	8262083072.0	342.99	343.87000000000006	352.01	347.53893563356536	356.8851909545812	45.73722633476833	-9.34625532101586	-10.649879826389546	2.6072490107473705	352.01	373.1628373112391	330.85716268876087	10.24419475853164
2018-05-10	355.39	362.99	354.39	362.59	311173	12561825792.0	347.23	345.81000000000006	351.34	349.8544839976322	357.30776940239	52.97945682831576	-7.453285404757821	-10.0105609420632	5.114551074610759	351.34	369.9962815723076	332.6837184276924	10.369609418636523
2018-05-11	368.39	371.39	364.39	365.19	247033	10173481984.0	352.43000000000006	348.4700000000001	351.12	352.21379415184265	357.8916383355463	54.44698852046392	-5.677844183703655	-9.144017590391291	6.932346813375272	351.12	368.95587160161887	333.28412839838114	10.257494460162487
